Cinsiyet|Yaş Grubu|Eğitim Seviyesi|ÖlçümYılı|Sayı
Kadın|25-29|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|97986.0
Kadın|25-29|Okuma Yazma Bilmeyen|2021|25282.0
Kadın|25-29|Ortaokul Veya Dengi Meslek Ortaokul|2021|594834.0
Kadın|25-29|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|135710.0
Kadın|25-29|Yüksekokul Veya Fakülte|2021|1316007.0
Kadın|25-29|İlkokul|2021|106859.0
Kadın|25-29|İlköğretim|2021|125903.0
Kadın|30-34|Bilinmeyen|2021|33447.0
Kadın|30-34|Doktora|2021|8814.0
Kadın|30-34|Lise Ve Dengi Meslek Okulu|2021|764320.0
Kadın|30-34|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|124770.0
Kadın|30-34|Okuma Yazma Bilmeyen|2021|49327.0
Kadın|30-34|Ortaokul Veya Dengi Meslek Ortaokul|2021|217479.0
Kadın|30-34|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|146379.0
Kadın|30-34|Yüksekokul Veya Fakülte|2021|1007516.0
Kadın|30-34|İlkokul|2021|120555.0
Kadın|30-34|İlköğretim|2021|549692.0
Kadın|35-39|Bilinmeyen|2021|32531.0
Kadın|35-39|Doktora|2021|17745.0
Kadın|35-39|Lise Ve Dengi Meslek Okulu|2021|757409.0
Kadın|35-39|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|80374.0
Kadın|35-39|Okuma Yazma Bilmeyen|2021|51400.0
Kadın|35-39|Ortaokul Veya Dengi Meslek Ortaokul|2021|356000.0
Kadın|35-39|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|127528.0
Kadın|35-39|Yüksekokul Veya Fakülte|2021|716944.0
Kadın|35-39|İlkokul|2021|602729.0
Kadın|35-39|İlköğretim|2021|322698.0
Kadın|40-44|Bilinmeyen|2021|30833.0
Kadın|40-44|Doktora|2021|21473.0
Kadın|40-44|Lise Ve Dengi Meslek Okulu|2021|772446.0
Kadın|40-44|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|81265.0
Kadın|40-44|Okuma Yazma Bilmeyen|2021|58090.0
Kadın|40-44|Ortaokul Veya Dengi Meslek Ortaokul|2021|437532.0
Kadın|40-44|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|96631.0
Kadın|40-44|Yüksekokul Veya Fakülte|2021|559744.0
Kadın|40-44|İlkokul|2021|800799.0
Kadın|40-44|İlköğretim|2021|317872.0
Kadın|45-49|Bilinmeyen|2021|31050.0
Kadın|45-49|Doktora|2021|16477.0
Kadın|45-49|Lise Ve Dengi Meslek Okulu|2021|573363.0
Kadın|45-49|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|79318.0
Kadın|45-49|Okuma Yazma Bilmeyen|2021|58139.0
Kadın|45-49|Ortaokul Veya Dengi Meslek Ortaokul|2021|402680.0
Kadın|45-49|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|50123.0
Kadın|45-49|Yüksekokul Veya Fakülte|2021|365505.0
Kadın|45-49|İlkokul|2021|854403.0
Kadın|45-49|İlköğretim|2021|332078.0
Kadın|50-54|Bilinmeyen|2021|31797.0
Kadın|50-54|Doktora|2021|12531.0
Kadın|50-54|Lise Ve Dengi Meslek Okulu|2021|415317.0
Kadın|50-54|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|88431.0
Kadın|50-54|Okuma Yazma Bilmeyen|2021|65973.0
Kadın|50-54|Ortaokul Veya Dengi Meslek Ortaokul|2021|311427.0
Kadın|50-54|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|31440.0
Kadın|50-54|Yüksekokul Veya Fakülte|2021|235116.0
Kadın|50-54|İlkokul|2021|846709.0
Kadın|50-54|İlköğretim|2021|262067.0
Kadın|55-59|Bilinmeyen|2021|35150.0
Kadın|55-59|Doktora|2021|8334.0
Kadın|55-59|Lise Ve Dengi Meslek Okulu|2021|349036.0
Kadın|55-59|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|142648.0
Kadın|55-59|Okuma Yazma Bilmeyen|2021|114418.0
Kadın|55-59|Ortaokul Veya Dengi Meslek Ortaokul|2021|246635.0
Kadın|55-59|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|17170.0
Kadın|55-59|Yüksekokul Veya Fakülte|2021|159451.0
Kadın|55-59|İlkokul|2021|1065408.0
Kadın|55-59|İlköğretim|2021|191163.0
Kadın|6-13|Bilinmeyen|2021|29735.0
Kadın|6-13|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|2511427.0
Kadın|6-13|Okuma Yazma Bilmeyen|2021|21910.0
Kadın|6-13|Ortaokul Veya Dengi Meslek Ortaokul|2021|144205.0
Kadın|6-13|İlkokul|2021|2283899.0
Kadın|60-64|Bilinmeyen|2021|28603.0
Kadın|60-64|Doktora|2021|4607.0
Kadın|60-64|Lise Ve Dengi Meslek Okulu|2021|226301.0
Kadın|60-64|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|159870.0
Kadın|60-64|Okuma Yazma Bilmeyen|2021|136295.0
Kadın|60-64|Ortaokul Veya Dengi Meslek Ortaokul|2021|135826.0
Kadın|60-64|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|9583.0
Kadın|60-64|Yüksekokul Veya Fakülte|2021|115535.0
Kadın|60-64|İlkokul|2021|908886.0
Kadın|60-64|İlköğretim|2021|81007.0
Kadın|65+|Bilinmeyen|2021|83458.0
Kadın|65+|Doktora|2021|6354.0
Kadın|65+|Lise Ve Dengi Meslek Okulu|2021|266759.0
Kadın|65+|Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2021|856650.0
Kadın|65+|Okuma Yazma Bilmeyen|2021|1009085.0
Kadın|65+|Ortaokul Veya Dengi Meslek Ortaokul|2021|199451.0
Kadın|65+|Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2021|12534.0
Kadın|65+|Yüksekokul Veya Fakülte|2021|176073.0
Kadın|65+|İlkokul|2021|1894326.0
Kadın|65+|İlköğretim|2021|45574.0
